"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка создания заказа (код - 201 и track в ответе)","76","Создание заказа","tests","Mon Mar 24 15:40:52 MSK 2025","passed","Mon Mar 24 15:40:52 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка создания заказа (код - 201 и track в ответе)","256","Создание заказа","tests","Mon Mar 24 15:40:53 MSK 2025","passed","Mon Mar 24 15:40:53 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка, что нельзя создать курьера с уже существующими кредами (код - 409 и текст - ""message"": ""Этот логин уже используется. Попробуйте другой.""","74","Проверка невозможности создать курьера. Дублирующие креды","tests","Mon Mar 24 15:40:52 MSK 2025","passed","Mon Mar 24 15:40:52 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка создания заказа (код - 201 и track в ответе)","157","Создание заказа","tests","Mon Mar 24 15:40:53 MSK 2025","passed","Mon Mar 24 15:40:53 MSK 2025","TestCreateOrder","test_create_order","",""
"Получение списка заказов (код - 200 и ""orders"" в ответе)","844","Получение списка заказов","tests","Mon Mar 24 15:40:53 MSK 2025","passed","Mon Mar 24 15:40:54 MSK 2025","TestGetListOfOrders","test_get_list_of_orders","",""
"Проверка создания заказа (код - 201 и track в ответе)","90","Создание заказа","tests","Mon Mar 24 15:40:52 MSK 2025","passed","Mon Mar 24 15:40:52 MSK 2025","TestCreateOrder","test_create_order","",""
"Проверка авторизации курьера без обязательного поля- password (код - 400 и ""message"": """"message"":  ""Недостаточно данных для входа""","169","Авторизация курьера не пройдена при отправке не всех обязательных полей","tests","Mon Mar 24 15:40:54 MSK 2025","passed","Mon Mar 24 15:40:54 MSK 2025","TestLoginCourier","test_login_courier","",""
"Проверка отправки неверного password при автроизации курьера (код - 404 и ""message"": ""Учетная запись не найдена""","155","Авторизация курьера не пройдена при отправке неверного password","tests","Mon Mar 24 15:40:54 MSK 2025","passed","Mon Mar 24 15:40:54 MSK 2025","TestLoginCourier","test_login_courier","",""
"","567","Создание курьера","tests","Mon Mar 24 15:40:52 MSK 2025","passed","Mon Mar 24 15:40:52 MSK 2025","TestCreateCourier","test_create_courier","",""
"Проверка заполнения не всех обязательных полей. Курьер не создан (код - 400 и текст - ""message"": ""Недостаточно данных для создания учетной записи""","72","Проверка невозможности создать курьера. Не все обязательные поля","tests","Mon Mar 24 15:40:52 MSK 2025","passed","Mon Mar 24 15:40:52 MSK 2025","TestCreateCourier","test_create_courier","",""
